AALI|sektor|barang konsumen primer
AALI|sub sektor|makanan & minuman
AALI|industri|produk makanan pertanian
AALI|sub industri|perkebunan & tanaman pangan
AALI|sekretaris perusahaan|mario casimirus surung gultom
AALI|direktur|santosa
AALI|direktur|mario casimirus surung gultom
AALI|direktur|muhammad hadi sugeng wahyudiono
AALI|direktur|rujito purnomo
AALI|direktur|nico tahir
AALI|direktur|said fakhrullazi
AALI|direktur|eko prasetyo
AALI|komisaris|chiew sin cheok
AALI|komisaris|johannes loman
AALI|komisaris|sidharta utama
AALI|komisaris|aridono sukmanto
AALI|komite audit|sidharta utama
AALI|komite audit|lindawati gani
AALI|komite audit|budi frensidy
AALI|pemegang saham|pt astra international tbk
ABBA|sektor|barang konsumen non-primer
ABBA|sub sektor|media & hiburan
ABBA|industri|media
ABBA|sub industri|penerbitan
ABBA|sekretaris perusahaan|s. pramudityo anggoro
ABBA|direktur|adrian syarkawi
ABBA|direktur|troy reza warokka
ABBA|komisaris|r. harry zulnardy
ABBA|komisaris|rudy setia laksmana
ABBA|komisaris|harry danui
ABBA|komite audit|harry danui
ABBA|komite audit|otto eduard sitorus
ABBA|komite audit|zaki zulfikar
ABBA|pemegang saham|pt beyond media
ABBA|pemegang saham|peak holdings luxembourg s.a.r.l
ABDA|sektor|keuangan
ABDA|sub sektor|asuransi
ABDA|industri|asuransi
ABDA|sub industri|asuransi umum
ABDA|sekretaris perusahaan|ratih p. kusumadilaga
ABDA|direktur|julien pierre combaret
ABDA|direktur|renova siregar
ABDA|direktur|herliniawaty sutanto
ABDA|direktur|stephen
ABDA|komisaris|ronni widjaja
ABDA|komisaris|herlani sunardi
ABDA|komisaris|francisco noriega malave
ABDA|komisaris|tjan soen eng
ABDA|komite audit|ronni widjaja
ABDA|komite audit|herlani sunardi
ABDA|komite audit|kusuwandi tamin
ABDA|pemegang saham|bank of singapore ltd a/c mapfre internacional sa
ABMM|sektor|perindustrian
ABMM|sub sektor|perusahaan holding multi sektor
ABMM|industri|perusahaan holding multi-sektor
ABMM|sub industri|perusahaan holding multi-sektor
ABMM|sekretaris perusahaan|rindra donovan
ABMM|direktur|achmad ananda djajanegara
ABMM|direktur|adrian erlangga
ABMM|direktur|haris mustarto
ABMM|komisaris|rachmat mulyana hamami
ABMM|komisaris|arief tarunakarya surowidjojo
ABMM|komisaris|mivida hamami
ABMM|komisaris|manggi taruna habir
ABMM|komite audit|manggi taruna habir
ABMM|komite audit|ferry a.j. alis
ABMM|komite audit|agus yulianto
ABMM|pemegang saham|maybank kim eng sec. pte ltd
ABMM|pemegang saham|pt. tiara marga trakindo
ABMM|pemegang saham|valle verde pte ltd
ACES|sektor|barang konsumen non-primer
ACES|sub sektor|perdagangan ritel
ACES|industri|ritel khusus
ACES|sub industri|ritel barang rumah tangga
ACES|sekretaris perusahaan|helen r. tanzil
ACES|direktur|prabowo widya krisnadi
ACES|direktur|tarisa widya krisnadi
ACES|direktur|sugiyanto wibawa
ACES|direktur|dewi triana saleh
ACES|direktur|suharno
ACES|direktur|gregory widjaja
ACES|komisaris|kuncoro wibowo
ACES|komisaris|hartanto djasman
ACES|komisaris|letjen tni (purn) tarub
ACES|komisaris|irjen pol (purn) mathius salempang
ACES|komite audit|letjen. tni (purn.) tarub
ACES|komite audit|julianto sidarto
ACES|komite audit|petrus rudy prakoso
ACES|pemegang saham|pt kawan lama sejahtera
ACST|sektor|infrastruktur
ACST|sub sektor|konstruksi bangunan
ACST|industri|konstruksi bangunan
ACST|sub industri|konstruksi bangunan
ACST|sekretaris perusahaan|maria cesilia hapsari
ACST|direktur|idot supriadi
ACST|direktur|hilarius arwandhi
ACST|direktur|david widjaja
ACST|direktur|yohanes eka prayuda
ACST|direktur|djoko prabowo
ACST|komisaris|frans kesuma
ACST|komisaris|iwan hadiantoro
ACST|komisaris|tan tiam seng ronnie
ACST|komisaris|buntoro muljono
ACST|komisaris|wiltarsa halim
ACST|komite audit|buntoro muljono
ACST|komite audit|wiltarsa halim
ACST|komite audit|handy effendi halim
ACST|pemegang saham|pt karya supra perkasa
ACST|pemegang saham|pt cross plus indonesia
ADES|sektor|barang konsumen primer
ADES|sub sektor|makanan & minuman
ADES|industri|minuman
ADES|sub industri|minuman ringan
ADES|sekretaris perusahaan|thomas maria wisnu adjie
ADES|direktur|wihardjo hadiseputro
ADES|direktur|th.m. wisnu adjie
ADES|komisaris|hanjaya limanto
ADES|komisaris|danny yuwono
ADES|komisaris|miscellia dotulong
ADES|komite audit|miscellia dotulong
ADES|komite audit|christine
ADES|komite audit|zulbahri
ADES|pemegang saham|water partners bottling, sa
ADFO|komite audit|yuli aristianto
ADFO|komite audit|ronald
ADFO|komite audit|siska puspita
ADHI|sektor|infrastruktur
ADHI|sub sektor|konstruksi bangunan
ADHI|industri|konstruksi bangunan
ADHI|sub industri|konstruksi bangunan
ADHI|sekretaris perusahaan|farid budiyanto
ADHI|direktur|entus asnawi mukhson
ADHI|direktur|a. suko widigdo
ADHI|direktur|pundjung setya brata
ADHI|direktur|vera kirana
ADHI|direktur|a.a.g. agung dharmawan
ADHI|direktur|agus karianto
ADHI|komisaris|dody usodo hargo
ADHI|komisaris|hironimus hilapok
ADHI|komisaris|abdul muni
ADHI|komisaris|cahyo r. muzhar
ADHI|komisaris|widiarto
ADHI|komisaris|yustinus prastowo
ADHI|komite audit|abdul muni
ADHI|komite audit|taufik hidayat
ADHI|komite audit|ratna wardhani
ADHI|pemegang saham|negara republik indonesia
ADMF|sektor|keuangan
ADMF|sub sektor|jasa pembiayaan
