asuransi jiwa kresna, pt
ali abbas badre alam
mardjoeki atmadiredja
james pang wei kuan
anugerah pekerti
sumardi wijaya
energi alternatif
stan maringka
roy nicholas mandey
pt. easterntex
suzanna tanojo
sinurlinda gustina m.
anton budiman
sammy t. s. lalamentik
pt ascend bangun persada
pt. geno tatagraha
sutiadi widjaja
malvina investment limited
nanang pamuji mugasejati
freddy soetanto
budiasto kusuma
david richard thomas
budianto halim
surya a. soepono
firly baihaqi hendyanto
ir. djoko ramiadji, msc
paul krisnadi
pamuji gesang raharjo
imam muflih
pt. davest investama mandiri
fredy
adi harsono
letjen. tni (purn) sofian effendi
pt crio indonesia
jasa telekomunikasi terintegrasi
jeyson pribadi
handoko anindya tanuadji
feri irawan
sapto amal damandari *
kim, jung gyun
teddy pawitra
prasasto sudyatmiko
parluhutan
juan francisco defalque
pt udinda wahanatama
herry hykmanto
tan hendra
ruliff redemptus sena susanto
emil hakim *)
fujikura asia limited
pt bogamulia nagadi
umarsono andy
db spore dcs a/c ntasian discovery master fund-864134218
j johandi kumaheri
utomo santoso
budiawan lebar
maqbul halim, s.sos
liauw hendrik
dwi susanto
elvira lianita
rully muliarto
pt hoekel bangun abadi
rachmad gobel
dr. cahyono halim, mba.
santoso
christy grassela
johannes wargo
indra setiawan
indrastomo nugroho
suryandi
suyitno patmosukismo
hendry ligiono
melanthon rumapea
muljawati chitro
harry m. zen
hendro wibowo
hungkang sutedja
mario casimirus surung gultom
bali media telekomunikasi pt
pt fajar mining resources
anggara andrian linanda
wahyu priya kuswanda
ariyo ali suprapto
dwia aries tina pulubuhu
agus winardono
pt anugrah semesta langgeng
petrus tjandra
lenny wijaya
robby taslim
sigit kamseno
pt arman investments utama
ani wijaya
theodorus warlando ginting
yongki teja
steven gerald pore
yani alifen
andree djayaprawira
bonie guido
dr. robert a. simanjuntak
wong li na
pt bank pan indonesia tbk
pt hastagraha bumipersada
pt lorena
metta margaretha murdaya
anita
david jonathan clarke
kartika apriliana
chandra tjong
anthonius gunawan gho
elariska sihaloho
witiarso utomo
fahmi rizal
vivi ramalyati hutama
philip min lih chen
ogi prastomiyono
siendy k. wisandana
pt esa utama inti persada
pt.panorama sentrawisata tbk
bambang palgoenadi
arief sugiyo
suadi atma
dr rudy b tjahjadi
stevano rizki adranacus
terry seremetis
corneiles tedjo endriyarto
taufik johannes
tommy iskandar widjaja
jonni hutahaean
soedarsono notoprajitno
bernardus irmanto
arianto sjarief
suryanto
budimulio utomo
fs bahari nusantara
pt dian ciptamas agung
tjandra susanto putra
irrianna halim saputra se
h.b.l. mantiri
r.m. sjariffudin (mohammad sjariffudin)
hendy narindra dewantoro
ir. adrianto pitoyo adhi
kwan chiew choi
pt batavia prosperindo international tbk
grace dewi riady
arief tjahjono
suprayitno
charlie salim
kresna asset management s/a pt kresna graha investama tbk
jimmy cakranegara
anangga w. roosdiono
dian heryandi
hadi surjadipradja
riko firmansyah
rieko kawaguchi
mohamad rusli
yusuf salman
lilia setiprawarti sukotjo
ramdani
lany wihardjo
yoyo sugeng triyogo
kemal imam santoso
pt astra international tbk.
melisa sandrianti
suwignyo budiman
hendrik atmaja
mathius polusto s
peter indra lembong
ubs ag london
pt beyond media
justy intan
djanarko tjandra
danny rachmat
dodi nurzani
setiawan triwidodo widjojo
doedy darwin
devi henita
umar ganda
komaruddin hidayat
pt adyatama global investama
sjafril effendi
toshiro mizutani
dewi hartanti
panji irawan
chriestina imayati hamidjaja putri
fumiaki ozawa
vera kirana
djonny hartono tjahyadi
eko nugroho thjahjadi
paulino taylor
linda sari, se
setiawan kriswanto
jenry cardo manurung
pt bangun bumi utama
susiwijono
reasuransi
pt. martensite unggul
franky oesman widjaja
satrijanto tirtawisata
m. darwis hamzah
nga seg min
mohammad riza
pt aserra capital
reynold m. batubara
bio majesty pte. ltd.
januar pitono
bangun sarwito kusmulyono
noegroho harihardono
somad tjuar
kresna priawan djokosoetono
john stuart anderson slack
darmawan kusnadi
wiwik sukarno ar
standard chartered bank sg s/a vp bank a/c vp bank (singapore) ltd (id005464400004)
marcus harianto brotoatmodjo
h. setia budi
didik tandiono, msc
iman santoso
banque pictet and cie sa burgundy assets corp
eko yuliantoro
tjia hwie tjin
arif budiman
emmanuel dwi iriyadi
muljono tjandra
stevan djaya saputra
pt gratamulia pratama
nio, eko susilo
tan lian soei
tonny sutanto mahadarta
suhaimin djohan
anthoni salim
mega satria
ernadhi sudarmanto
arie kusumastuti maria, s.h., m.kn.
dr. saud usman nasution, sh. mm. mh.
arifin mangasi sibarani
irwan arifin
anang yudiansyah setiawan
yenfrino gunadi
jun hanaoka
wong kevin
christopher liawan
jenny quantero
perry barman slangor
billy dahlan
gunawan
satoshi horiuchi
gunawan tenggarahardja
ir. andy noorsaman
wiwid puji hastuti
h. abdul zafar
riza budi
natalia cecilia tanudjaja
hary alamsyah
umakanth rama pai
tn. wilson sutantio
ir. doddy soepardi har
handhi eko saputro
jasa investasi
wahyudi eko sutoro
pt. maxima agro industri
ubs ag ldn branch - ubs ag london
dato' dr low tuck kwong
lianawaty
steven himawan
pt krishna kapital investama
halim susanto
robinson simbolon
adolf martua panggabean
pt kedawung subur
gunadi
rizal satar
pt. perkasa makmur amara
dr. h. ahmadi bin sukarno, lc, m.ag
mariah suriadi
sammy kristamuljana
rahmiyati yahya
amri siahaan
drs. mohammad raylan
fadhila achmadi rosyid
masli mulia
freddy tedjasasmita
gregory hendra lembong
rima rupita
tumpal m. sihombing
rizalsyah riezky
ayu yusman
pt central texindo
asmawi syam
floreta tane
andrew c. beckham
hendrikus ivo
vinod kesavan
pt apratima sejahtera
budiarsa sastrawinata
bulan putri pertama ayu
qatar national bank (q.p.s.c.)
taufik hidayat
pt agrindo pratama
makoto sorimachi
djoko rosmiatu mijaata
heru sulistiadhi
michael winata
tan ping
anton setianto soedarsono
tony legi
eko saputro wijaya
ir. pudji harianto
jasmin
sutjianta
sri adriyani lestari
dennis villafuerte valencia
limpa itsin bachtiar
amrullah
prof. (emeritus) dorojatun kuntjoro-jakti, ph.d
sudarmo tasmin
riesta kristanti
sudarmanto
i gede darmayusa
arief harris tandjung
dewi triana saleh
djajusman surjo wijono
teddy j. katuari
oka lesmana
anak agung mas wirajaya
deddy heruwanto
suardi latief
nely layanto
trisnawati trisnajuana
yonggi tanuwidjaja
pratama girindra wirawan
velliana tanaya
marwan hadid
m. iman usman
lina m. ibrahim
agus hasan pura anggawijaya
bara pte ltd
lisan
arman
agustinus harimurti
ronny titiheruw
david elliot ulmer jr
reggy kusuma
db spore dcs a/c ntasian discovery master fund
omnistar investment holdings limited
pt. gloriajaya gempita
ijudah muabad
pt buana graha utama
sanderawati joesoef
albert christo
juliani
bapak stan pranoto
harto
totok budisantoso
puti retno ali
muhammad fajrin rasyid
bina puri power sdn. bhd.
ir. yahya taufik
nio yantony
mandeep singh
ortega management ltd
drs.ec. sugiyanto
budi dharma wreksoatmodjo
pt rodamas
agustus sani nugroho
andi pravidia saliman
michelle elisa rusli
ekajayanti s.e
harry arief supardi
cendrasuri ependy
sintong panjaitan
handoyo rusli
aditya wahyu windarwo*
kevin gerard gluskie
rizki indrakusuma
agin nurnaningrum
sim jae poong
markus edwin soegianto
paul tambunan
sony sasono rahmadi
dedy ismunandar soetiarto
pt. aldiracita sekuritas indonesia
nengah rama gautama
catur budi harto
dion leswara
baiq nadea dzurriatin
ali said, s.e
dadan gunawan
andy lasinrang bharata
robinson p. simbolon
anang sri kusuwardono
tjioe johan sugita
prof. didik j. rachbini
anton mailoa
pt brida makmur nusantara
pt sam investama
ivan sindoro
robert darmadi
pt karya berkah investama
andrae krishnawan w.
yuanta securities indonesia, pt
vita diani satiadhi, mm
ardian hak
lucas mulia suhardja
swandajani gunadi
billy hartono salim
teten djaka triana
pt. tiara marga trakindo
albert yan katili
sang nyoman suwisma
ratri sryantoro, beng, mcomm,msc
greater universal limited
interventures capital pte ltd
leo a. tangkilisan
koenraad martin irine verheyen
rudy gomedi
apolonia irwina gunawan
christopher robert botsford
oke arifin
yimmy weddianto
fabian gelael
sucipto tanro
antonius harwanto suryo sembodo
pt sejahterah jaya cita
murni nurdini
ance
randeep singh kanwar
ricky tjandra
drs. ec. adik prasodjo
masaki matsui
arys ilyas
pt ratu prabu
ahmad nugraha
prinsep management limited
imam sudjarwo
badrodin haiti
yafin tandiono tan
bima aranta
hitachi construction machinery co. ltd.
hideki iida
josephin regina dameria sambajon
trisno limanto
yuristy febriany se
jhon wery
suroso, ak
hardi sasmita
andrianto putera tirtawisata
tarkosunaryo, se
hariyono tjahjarijadi
lita rossela
tan ho hien/subur atau dipanggil subur tan
taufik wiraatmadja
budijanto tirtawisata
paradiso resources ltd
juliher marbun
charli handaka
yuristy febriany
rudy kurniawan logam
zainuddin effendi
josephine pm tobing
kasikornbank public company ltd
suryani zaini
zacharia susantadiredja
theresia christina
julianto sidarto
brenna florence pribadi
muhamad senang sembiring
ivan pesik
alan john heaton
caroline himawati hidajat
wahyu andi susilo
kuniawan tedjo
edy sukamto
wong lukas yoyok nurcahya
hanny untar
fautry hasfiandy
bijono waliman
djojo hartono
lusiaga levi susila
tomi tris
usman gumanti saleh
doktorandus hans wijayasuriya
zulham arief, sh
muhammad rama saputra
poo winata polim
timur pradopo
eddy k. sariaatmadja
hafez salammudin
eric paskoff
pt famlee invesco
petrus sartono
andrew clarke
janto lili
noor romawibowo danusutedjo
giat widjaja
guy pierre girin
credit suisse securities (europe) limited - 94644000
pt mesindo agung nusantara
herwin bustaman
muliati
pt multidaya industri
yohannes henky wijaya
pt ekacentra usahamaju
caesarika dwi sekar palupi
pt elsiscom prima karya
toyota tsusho corporation
pt batavia prosperindo finance tbk.
samuel mulyono
pt hero intiputra
arifin panigoro
julien pierre combaret
m. rizal pahlevi
mary
pt saranamulia mahardhika
bambang sumargono
ivone margaretha
beni hendrawan
pt. kl trio
fahmi fadillah
ramakanta bhattacharjee
nbs clients
pt widodo makmur perkasa
jpmcb na re-cathay life lnsurance co ltd
bostomi suharman
mardian menggala putra, s.e.
abas soeriawidjaja
soeharsono sagir, s.e.
pt bhakti panjiwira
agus soetopo
agoes r. silaban
lin manuhutu
ubs ag london-2140724000
yohan kangsadjaja
theodore permadi rachmat
batu bara
mehmet mesut ada
n annisa putri fauzia rahmi
dharma syahputra
edwin pamimpin situmorang, sh, mh
pendukung minyak, gas, & batu bara
rejo sari bumi
teh kian kun
kentjana widjaja
andry budiman limawan
welly sugiharto
tjai sauw wie (bambang s.)
lim hock soon
rudy pinem
abdul kadir
ridho kresna wattimena
endah winarni
oei, allan wibisono
alfa enersi
saiful mizra bin kassim
sumitomo mitsui banking corporation
chrismon djajadi
ali sugiharto wibisono
hendarta atmadja
alexander agung pranoto
hariyadi
dr. ibrahim hasan
dk lim & sons investment pte ltd
chan tze choong eric
numpol malichai
gilbert markus nisahpih
tjham kon tjiap (budiono)
samuel stepanus
bastian purnama
ramli setiawan
pramukti surjaudaja
alip
miarni ang
michael harold h
andi surja boediman
f. justini omas
susaningtyas nefo handayani kertopati
paulus nurwadono
stewart donald hall
sudjono
saptari hoedaja
bing hartono p.
raden ari priyadi
pradjoto
jasa pembiayaan
dyah ayu anggraeni
dr. paulus widjanarko brotosaputro
mitsui & co, ltd
eddy hidayat lim
pt sumbermas inti energi
pt victoria insurance tbk
pt rsk investasi unggul
johanes ridwan
chairul tanjung
jenny tanujaya mba.
pt asuransi bina dana arta tbk
mu min ali gunawan
putu darsana
pt artha investama jaya
wahyudin
sony sutanto
pt. indoritel makmur internasional tbk
prof. dr. ir. anastasia sulistyawati, m.s.,m.m,d.th
ubs ag singapore s/a china navigation
markus silitonga
m. awi ekolaksono, se.,sh.
haryadi
najmil faiz bin mohamed aris
pemerintah ri
mastan singh
ng kean yik
ko, sugiarto
andy dahananto
faty khusumo
david i. tjiptobiantoro
rudi donardi
ridwan d. ayub
raden sukhyar
rahmad hidayat
david tjahjadi
budi adi brahmanatama
heru tjahjono
darwin indigo
elkana pandaja
pt majukarya mandiri indonesia
luciana setiati harsono
taufik santoso
haryadi s.e
harry kesuma tanoto
low, tuck kwong
tae hyoung lee
operator jalan tol & rel
margaret leroy lie
endang sulistyowati
brian praneda sh
ridwan djamaluddin
cecep trisna
rudy kurniawan leonardi
richard gordon johnstone
lindawati
oei michelle mallorie sunogo
pt erdikha elit sekuritas
erry firmansyah
mugi tri cahyono
oscar jaro tavera
a. widyatma sumarlin
ramesh narayanswamy subramanyam
sumarni
alfia oktaviani, s.ap
bambang irawan hendradi
djunaedy nauli
tippy joesoef *
djisman simandjuntak
rachmat hutama
lukas setio wongso wong
lim chai hock
suharno
permadi al suharto
tjahjono alim
chatri eamsobhana
aria kanaka, cpa.
ade tutut tunggal.r
pt trijaya putra mulia
budi yanto lusli
royke tumilaar
inti anugerah pratama
permadi al suharto. bsc
hamdhany halim
low yew lean
halim kesuma
sapphira corporation ltd
prajna murdaya
stania suwita pranoto
arsal ismail
lim tony
lilis mulyawati
untoro angkawijaya
dbs bank ltd s/a pemberton asian opportunities fund
david kristiali
anwar lawden, s.h.
susilowati
aurelius kartika hadi tan
francis indarto
hadisan sridjaja
bapak yan rahadian
jojok hadrijanto
tee teong beng
keigo kajiwara
jeanny maknawi joe
andreas tjahjadi
hideo umeki
roland hutapea
john william ryan
deisy christina
djohan sutanto
pt aneka
adnan tabrani
lokita prasetya
abidin fan
rio lanasier
pt andalan lepas pantai
karsongno wongso djaja
adrian bramantyo
nike felina
syukur lawigena
jap owen ronadhi
drs. budi setyawan, mm
sugiman layanto
pt. srihana utama
herman selamat
manggi taruna habir
andrew nasuri
agung budi waskito
dian kurniadi suhardjo
teguh dartanto
ganny zheng
pt kimia farma tbk
park tae yong
ocbc sec pte ltd s/a hudson river group pte ltd
dbs bank ltd s/a new ascend limited
t. arso anggoro
nam cheong pioneer sdn bhd
henny rustanto
handi hidayat suwardi
agung wiharto
thomas dwika praditya
erwin prayudi suyudono
imam sudiyono
selamat
tedy homogin
sentot margianto
pt pandawa putra investama
suaimi suriady
tjoe mun lie
pt bank maybank indonesia tbk
yurianatama marpaung
fajar wahyudi, st
lily hidayat
soediarto soerjoprahono
tan dwi ratih
pt kresna graha investama tbk
arie nugraha
kim seong taek*)
rofikoh rokhim
ictsi far east pte ltd
edwin soeryadaya
johny sopandi
manoj dhamoo punjabi
y.b. hariantono
marwan noor
i wayan susena
adi munandir
peter f. gontha
agus purbianto
rena agustini
perdagangan aneka barang perindustrian
dra siti hartati murdaya
ping handayani hanli
sebastain kinaatmaja
pt. prospect motor
ferry prajogo
widyono lianto
lamhot lumban tobing
citibank singapore e283-citibank singapore a/c anderson investments pte, ltd
idrus
pt jasa puri medikatama
ferlina sutandi
drs. raja sirait, mm
muhammad hamid
bambang sihono
anton a. se
anindya natasa
rafael dela cruz consing
felicia kweesly
bennedict edeli
pudjianto gondosasmito
dr. ir. matius jusuf mm, mba
dedi setiawan
aplikasi & jasa internet
kosasih koenawan
marsillam simandjuntak
yolanda andika, s.e.
daniel james alperin
b. maruli hp. sitorus pane
hananto indrakusuma
ladang ira panen, pt
cascade creek pty. limited
andreas kastono ahadi
oei yulianti winarso
lokasindo aditama
niven holding limited
bing hartono poernomosidi
lie jani harjanto
johan kurniawan
yu mizuike
santoso budi
anton hidayat se
theresia yusufiani rahayu
joe hariono
harris pranatajaya
trinita situmeang
pt pp (persero) tbk
yustina endang setyowati
lily marjani pribadi
anton setiawan
suzanna tonojo - 2091144326
muhammad bahruddin
budi setyarso
arief a. dhani
utomo josodirdjo
murugaiah periasamy
vonny sulaimin
widia puspa kartika putri
dhani m rasyid firmansyah
db singapore-dcs s/a pangolin inv man
bustomi usman
harina halim
herman
sri hetti turinani
kentarto
lianny leo
teknologi
agnes tjiandra
yully purwanti
kelik irwanto
dr kartini syahrir
firdila sari *
ricky sastra hidayat
drs. abraham bastari, mba
tufrida murniati hasyim
iron mountain hong kong limited
po wiwiek purnomo
arif andi wihatmanto
hiromichi kubo
herry cahyo tri yuniarto
sari damayanti
pandji pratama djajanegara
veri antoni
arif baharudin
mahdan
robert mc.carthy
a. stefanus ridwan suhendra
bobby iman setya
edwin lim
adam gifari
drs. deddy heruwanto
tael one partners ltd
ir. bingar egidius situmorang
russell john neil
aulia mulki oemar
pawan pratap singh
johansyah anwar
mellany
yasushi itagaki
fg. winarno
luiz fernando landeiro
alfredo g torres
hie luang kiauw
satriadi indarmawan
muhammad ishaq
james gregory baxter
ir. ahmad surahman
joe marco lesmana
valeska krisna
lidwina s. nugraha
gracy indriani
sintawati sukamuljo
handojo koentoro setyadi, s.h.
meridian pacific international pte ltd
andrinof a. chaniago
irsan budianto darmadji
chandra sim
pt reliance capital management
hendra lie
herman halim
anderson investment pte. ltd.
gamal nasir
ingemar patrik lindvall
arda billy
risono
david lius
denny sorimulia karim*
rasid harsono
ferry noviar yosaputra
dato' dr. low tuck kwong
henny ratnawati
lim kah hock
bnp paribas singapore - wealth management
kemuning satiatama, pt
entartio widjaja susanto
almanda s. pohan
maxen bastian nggadas
dwi wahyuni
henry priyono
petrus tjandra, mba
preedee chantanakajohnfung
subiantara, bsc
chandra m. hamzah
wiwik sukarno
christoforus
douval
pt. suryamitra kusuma
almuqri sagitri putra
sara k. loebis
pt dms investama
edith shih
denry raymond lelo
yan raymond jafri
ga robusta f&b company pte. ltd
fauzi ichsan
enrico haryono
interventures capital pte. ltd
axiata investments (indonesia) sdn. bhd.
ir y. henky wijaya mm
hasbi ashsiddiqi
dominic kai ming lai
drs toto wahyudiyanto
sung hyun jim baik
drs. aridono sukmanto
aria kanaka
basuki widjaja
pt pacific indocorpora
low soon heng
bambang widjanarko e. s.
peter umar
adrianus mooy
ibu sherley liando
chan hock sen
hendra herjadi widjonarko
anand kishore bapat
so helen susilawati
vicky ganda saputra
thong thong sennelius
tecable (hk) co limited
glenn muhammad surya yusuf
pt tigadari fiesta
riduan
heru subroto
tjetje muljanto
arga mahanana nugraha
kevin jong
suhendra prawirawidjaja
frans lebu raya
betti s. alisjahbana
sagita melati
h. sachroni
cimbgnt sa cimbpe
anthony budiawan
raiffeisen bank international ag, singapore branch s/a best quality global limited
prof. dr. f. g. winarno
daniel wardojo
syahrizal sabir
hongisilia
nurjani djunaedi
rorita lim
widya kumala sulistyo
jeny gono
pikoli sinaga
sukardi tandijono tang
jonatha sofjan hidajat
harianto
dr. antonius widyatma sumarlin, b. a., m.a.
pt papua timber jaya
interra resources limited
samuel nugroho setyono
josephine muljati wibawa
faried thalib
istama tatang siddharta
sugianto kolim
budi purwanto
loso judijanto
tanawong areeratchakul
widjaya hambali
pt paninkorp
winnie ng
prof. dr. j.b. soemarlin
winda yohana
drs jazid
ir. syadaruddin
andreas bahana
andi pahril pawi
kim kyung woo
pt gunung sinar berlian
peter eko budi darwito
yulius purnama junaedi
bp25 sg/bnp paribas singapore branch wealth amanagement
michio uchino
willianto alim
agus benjamin
bapak setia budi p.
tetsuo ukai
kusnoko
ganesh subash
pt arthabuana karya mandiri
taufan e.n rotorasiko
luo xude
pt merapi agung
pt trinitan resourcetama indonesia
mieke tioe
maxi rein rondonuwu
hendra kartasasmita
vicky taslim
pt saptadaya bumitama persada
rivolinggo pamudji
lusy miranda
yoshendri
steven christopher lee
andrew kukkutahlie labbaika
taswin zakaria
yamin dharmawan
nasir tamara
billy andrian
woe kim hoy
r. nurwulan kusumawati
sukarta
gatot adhi prasetyo
dato� mohd izzadin idris
budi raharjo legowo
dr arie setiabudi soesilo, m.sc
badan penyehatan perbankan nasional
pt. kitasubur utama
suisse charter investment ltd
benny pidakso
william suria djaja salim, mak., ca., bkp., cpa
salween investment pte. ltd.
manish dahiya
willy hambali *
sendjaja halim
arief halim
wishnumurti darmawan
endang ruchijat
ayu patricia rachmat
muriani
theresia v. rustandi
amit lohia
evi firmansyah
heru wisnu wibowo
ge luiyanto yamin
krishna suparto
pt. agrabudi karya marga
r. aj. widianawati
alex hendrawan
richard antonio
pt semarop agung
hiroyuki otani
drs. danang kemayan jati
choi jung sik
fac sekuritas indonesia,pt
adi putera widjaja
rosmena situmorang
pt. gelael pratama
