BNII|tanggal pencatatan|21 nov 1989
BNLI|tanggal pencatatan|15 jan 1990
BOGA|tanggal pencatatan|19 des 2016
BOLA|tanggal pencatatan|17 jun 2019
BOLT|tanggal pencatatan|07 jul 2015
BOSS|tanggal pencatatan|15 feb 2018
BPFI|tanggal pencatatan|01 jun 2009
BPII|tanggal pencatatan|08 jul 2014
BPTR|tanggal pencatatan|09 jul 2018
BRAM|tanggal pencatatan|05 sep 1990
BRIS|tanggal pencatatan|09 mei 2018
BRMS|tanggal pencatatan|09 des 2010
BRNA|tanggal pencatatan|06 nov 1989
BRPT|tanggal pencatatan|01 okt 1993
BSDE|tanggal pencatatan|06 jun 2008
BSIM|tanggal pencatatan|13 des 2010
BSSR|tanggal pencatatan|08 nov 2012
BSWD|tanggal pencatatan|01 mei 2002
BTEK|tanggal pencatatan|14 mei 2004
BTEL|tanggal pencatatan|03 feb 2006
BTON|tanggal pencatatan|18 jul 2001
BTPN|tanggal pencatatan|12 mar 2008
BTPS|tanggal pencatatan|08 mei 2018
BUDI|tanggal pencatatan|08 mei 1995
BUKK|tanggal pencatatan|29 jun 2015
BULL|tanggal pencatatan|23 mei 2011
BUMI|tanggal pencatatan|30 jul 1990
BUVA|tanggal pencatatan|12 jul 2010
BVIC|tanggal pencatatan|30 jun 1999
BWPT|tanggal pencatatan|27 okt 2009
BYAN|tanggal pencatatan|12 ags 2008
CAKK|tanggal pencatatan|31 okt 2018
CAMP|tanggal pencatatan|19 des 2017
CANI|tanggal pencatatan|16 jan 2014
CARE|tanggal pencatatan|13 mar 2020
CARS|tanggal pencatatan|10 apr 2017
CASA|tanggal pencatatan|19 jul 2016
CASH|tanggal pencatatan|04 mei 2020
CASS|tanggal pencatatan|05 des 2011
CBMF|tanggal pencatatan|09 apr 2020
CCSI|tanggal pencatatan|18 jun 2019
CEKA|tanggal pencatatan|09 jul 1996
CENT|tanggal pencatatan|01 nov 2001
CFIN|tanggal pencatatan|27 ags 1990
CINT|tanggal pencatatan|27 jun 2014
CITA|tanggal pencatatan|20 mar 2002
CITY|tanggal pencatatan|28 sep 2018
CLAY|tanggal pencatatan|18 jan 2019
CLEO|tanggal pencatatan|05 mei 2017
CLPI|tanggal pencatatan|30 nov 2001
CMNP|tanggal pencatatan|10 jan 1995
CMPP|tanggal pencatatan|08 des 1994
CNKO|tanggal pencatatan|20 nov 2001
CNTX|tanggal pencatatan|22 mei 1979
COCO|tanggal pencatatan|20 mar 2019
