ACST,DIREKTUR,Hilarius Arwandhi,-
ACST,DIREKTUR,David Widjaja,-
ACST,DIREKTUR,Yohanes Eka Prayuda,-
ACST,DIREKTUR,Djoko Prabowo,-
ACST,PRESIDEN KOMISARIS,Frans Kesuma,no
ACST,KOMISARIS,Iwan Hadiantoro,no
ACST,KOMISARIS,Tan Tiam Seng Ronnie,no
ACST,KOMISARIS,Buntoro Muljono,yes
ACST,KOMISARIS,Wiltarsa Halim,yes
ACST,KETUA,Buntoro Muljono,-
ACST,ANGGOTA,Wiltarsa Halim,-
ACST,ANGGOTA,Handy Effendi Halim,-
ACST,Pemegang Saham,PT Karya Supra Perkasa,-
ACST,Pemegang Saham,PT Cross Plus Indonesia,-
ADES,Tanggal Pencatatan,13 Jun 1994,-
ADES,Sektor,Barang Konsumen Primer,-
ADES,Sub Sektor,Makanan & Minuman,-
ADES,Industri,Minuman,-
ADES,Sub Industri,Minuman Ringan,-
ADES,Sekretaris Perusahaan,Thomas Maria Wisnu Adjie,-
ADES,PRESIDEN DIREKTUR,Wihardjo Hadiseputro,-
ADES,DIREKTUR,Th.M. Wisnu Adjie,-
ADES,PRESIDEN KOMISARIS,Hanjaya Limanto,no
ADES,KOMISARIS,Danny Yuwono,no
ADES,KOMISARIS,Miscellia Dotulong,yes
ADES,KETUA,Miscellia Dotulong,-
ADES,ANGGOTA,Christine,-
ADES,ANGGOTA,Zulbahri,-
ADES,Pemegang Saham,Water Partners Bottling, SA,-
ADFO,Tanggal Pencatatan,01 Jan 1911,-
ADFO,Sektor,-,-
ADFO,Sub Sektor,-,-
ADFO,Industri,-,-
ADFO,Sub Industri,-,-
ADFO,Sekretaris Perusahaan,,-
ADFO,KETUA,Yuli Aristianto,-
ADFO,ANGGOTA,Ronald,-
ADFO,ANGGOTA,Siska Puspita,-
ADHI,Tanggal Pencatatan,18 Mar 2004,-
ADHI,Sektor,Infrastruktur,-
ADHI,Sub Sektor,Konstruksi Bangunan,-
ADHI,Industri,Konstruksi Bangunan,-
ADHI,Sub Industri,Konstruksi Bangunan,-
ADHI,Sekretaris Perusahaan,Farid Budiyanto,-
ADHI,DIREKTUR UTAMA,ENTUS ASNAWI MUKHSON,-
ADHI,DIREKTUR,A. SUKO WIDIGDO,-
ADHI,DIREKTUR,PUNDJUNG SETYA BRATA,-
ADHI,DIREKTUR,VERA KIRANA,-
ADHI,DIREKTUR,A.A.G. AGUNG DHARMAWAN,-
ADHI,DIREKTUR,AGUS KARIANTO,-
ADHI,KOMISARIS UTAMA,DODY USODO HARGO,no
ADHI,KOMISARIS,HIRONIMUS HILAPOK,yes
ADHI,KOMISARIS,ABDUL MUNI,yes
ADHI,KOMISARIS,CAHYO R. MUZHAR,no
ADHI,KOMISARIS,WIDIARTO,no
ADHI,KOMISARIS,YUSTINUS PRASTOWO,no
ADHI,KETUA,Abdul Muni,-
ADHI,ANGGOTA,Taufik Hidayat,-
ADHI,ANGGOTA,Ratna Wardhani,-
ADHI,Pemegang Saham,Negara Republik Indonesia,-
ADMF,Tanggal Pencatatan,31 Mar 2004,-
ADMF,Sektor,Keuangan,-
ADMF,Sub Sektor,Jasa Pembiayaan,-
ADMF,Industri,Pembiayaan Konsumen,-
ADMF,Sub Industri,Pembiayaan Konsumen,-
ADMF,Sekretaris Perusahaan,Perry Barman Slangor,-
ADMF,DIREKTUR UTAMA,Hafid Hadeli,-
ADMF,DIREKTUR,Ho Lioeng Min,-
ADMF,DIREKTUR,I Dewa Made Susila,-
ADMF,DIREKTUR,Swandajani Gunadi,-
ADMF,DIREKTUR,Niko Kurniawan Bonggowarsito,-
ADMF,DIREKTUR,Harry Latif,-
ADMF,DIREKTUR,Jin Yoshida,-
ADMF,KOMISARIS UTAMA,Yasushi Itagaki,no
ADMF,KOMISARIS,Krisna Wijaya,yes
ADMF,KOMISARIS,Manggi Taruna Habir,yes
ADMF,KOMISARIS,Eng Heng Nee Philip,no
ADMF,KOMISARIS,Muliadi Rahardja,no
ADMF,KOMISARIS,Congsin Congcar,no
ADMF,KETUA,Krisna Wijaya,-
ADMF,ANGGOTA,Richard Steven Dompas,-
ADMF,ANGGOTA,Christine Tjen,-
ADMF,ANGGOTA,-,-
ADMF,Pemegang Saham,PT Bank Danamon Indonesia Tbk,-
ADMG,Tanggal Pencatatan,20 Okt 1993,-
ADMG,Sektor,Barang Baku,-
ADMG,Sub Sektor,Barang Baku,-
ADMG,Industri,Barang Kimia,-
ADMG,Sub Industri,Barang Kimia Dasar,-
ADMG,Sekretaris Perusahaan,Chandra Tjong,-
ADMG,PRESIDEN DIREKTUR,Gautama Hartarto, MA,-
ADMG,WAKIL PRESIDEN DIREKTUR,Johan Setiawan,-
ADMG,DIREKTUR,Gunawan Halim,-
ADMG,DIREKTUR,Tarunkumar Nagendranath Pal,-
ADMG,PRESIDEN KOMISARIS,Bacelius Ruru, SH,yes
ADMG,WAKIL PRESIDEN KOMISARIS,H Rosihan Arsyad,no
ADMG,KOMISARIS,Hendra Soerijadi,no
ADMG,KOMISARIS,Bambang Husodo,yes
ADMG,KETUA,Bacelius Ruru,-
ADMG,ANGGOTA,Sintawati Sukamuljo,-
ADMG,ANGGOTA,Haryati Thayib,-
ADMG,Pemegang Saham,Provestment Limited,-
ADMG,Pemegang Saham,PT Gajah Tunggal Tbk,-
ADMG,Pemegang Saham,PT Satya Mulia Gema,-
