hong chun
jeanny maknawi joe
lucy sycilia
ir. theodore permadi rachmat
bapak eddi kurniadi
pt. maxima agro industri
usman andy
surjo luhur hidajat
firdila sari *
abdul salam
dhien tjahajani
nadalia shofia audrina
muhammad iqbal
pt pangan sejahtera investama
albert sugianto
yoyong
rajeev gopalakrishnan
david aryanto dwi saputro
navin nahata
sujitno siswowidagdo
fransiscus alip
colleen siddik, shu
rachmat arifin
miscellia dotulong
drs. danang kemayan jati
eni pratiwi herlinawati a.
wang sutrisno
ramaswamy athappan
ardhi kusuma putra
pt solusi karya sukses
pt pacific indocorpora
yoga t. halim
peter djatmiko
harina halim
dessy roza
sutiyoso bin risman
nurdiaz alvin pattisahusiwa*
fatma abdulla al-suwaidi*)
tjhin leeris harni
amril
stanley setia atmadja
ludwig indrawan
vikry ahmadi
agustinus kasjaya pake seko
bni divisi penyelamatan & penyelesaian kredit korporasi
reksa dana narada saham indonesia ii
donal
pt goldenheaven prima investama
pt ramaduta teltaka
elizawatie simon
rifana erni
sandeep jayant potdar
theodora nani alamsyah
pt. tiara marga trakindo
drs. raja sirait, mm
jose g. tan
andre rachman
tiurma rondang sari
hanafiah djajawinata
mia puspawati
henry maknawi
hamdhany halim
dai bachtiar
satoshi horiuchi
ir. l. arwoko, mm
zulham arief, sh
fred perry martono
johnson napitupulu
rini trisna
efg bank ag, singapore branch a/c ciients
pt. majujaya terus sejahtera
budijanto tirtawisata
piero brambati
gita tiffany boer
cemerlang pte ltd
felix soesanto
sahat sihombing
pt distribusi voucher nusantara tbk
fg. winarno
airyn linanda
rejuve global investment pte ltd
go darmadi
agus efendi
andi surja boediman
ketut sanjaya
andrianto darmasaputra lawrence
pt soechi group
cred suisse ag,dub br-cl sec-omnibus non-tr acc-2051204002
kwee jen ping (yenny wijaya)
andry mulyono
buntoro muljono
dedie suherlan
julius aslan
pt serasih holdico
livia
raden bagus permana agung dradjattun
drs. kumari ak.
uli pesta sitanggang
ifa fiolia tan
terence donald o�connor
eva andrianie
pt jinsheng mining
pt garuda indonesia (persero) tbk.
tan, juanto
firman m silalahi
mohammad amin
muhamad kuncoro
faisal bin abdullah abdat
sumadiono
pt indah jaya investama
suherman
tjiendradjaja yamin
ir. achmad herlanto a., mba., rfa.
arief tjahjono
noegroho harihardono
djajadi djaja
nancy adistyasari
dedi sjahrir panigoro
amier hartono
pt pp (persero) tbk
cornellius henry kho
hedy maria helena lapian
gd express carrier bhd
kustina
jenry cardo manurung
yustinus prastowo
ibu hongisisilia
roy mandey
ahmad sofyan
binsar parasian simorangkir
adam
wiroat rattanachaisit
tonny poernomo
paiman raharjo
pt buana graha utama
wendy sui cheng yap
rocky wisuda praputranto
ayu patricia rachmat
johan kurniawan
christopher robert botsford
yayang ari setiawan
lena
jay t. oentoro
sapto amal damandari *
pt mitra aneka guna
ir. agus tjahajana wirakusumah, se., msc.
herryyanto
farida bau
pt sinar cemerlang jayaraya
dean arslan
