,max,min,avg,median,count
0,0.406541805458537,0.406541805458537,0.406541805458537,0.406541805458537,1.0
1,0.4590274861954243,0.39920088641294554,0.4291141863041847,0.4291141863041847,1.257
2,0.46905542854173604,0.32911061504881317,0.39965170383563764,0.4007890679163635,1.662
3,0.49232373379168604,0.3049758500025703,0.3997281873699858,0.40141266693732497,1.9
4,0.5264106306020867,0.2941743876262465,0.41139455327312596,0.41214653472204493,2.274
5,0.5541045448177564,0.2612880627325542,0.40989492283268664,0.4115418951772522,2.705
6,0.5704037217663387,0.24584571222930257,0.41109384371556146,0.41605880250363264,3.06
7,0.5768161096128027,0.22911250579747766,0.40575740888312556,0.4098938265485976,3.375
8,0.586075807429101,0.20675138067216708,0.3999219607380052,0.4037249296568982,3.818
9,0.5916813156488941,0.2041814085015736,0.40236774239124656,0.40812773114841056,4.207
10,0.5762452166255762,0.17572493040377551,0.38098845052032343,0.3869143290980448,4.61
11,0.5744365279321529,0.16612857335376258,0.375670565109698,0.3807894880979458,5.102
12,0.5640220545272965,0.15661858649603688,0.3670885213373842,0.3728426988966928,5.489
13,0.5609409633336788,0.15250915536007395,0.36246881966386135,0.3700575157334232,5.816
14,0.5500667948693446,0.1457629777283004,0.35419565678843357,0.3615588932032449,6.156
15,0.5269701335029561,0.1380569676718429,0.3417815045867011,0.3513382141012613,6.707
16,0.5163838215796792,0.13704359975460575,0.3345456016167252,0.34206387535896204,7.125
17,0.49844755990934,0.12529642722853307,0.31850425829173584,0.3233672900195775,7.521
18,0.484175757511,0.11365671211601257,0.30751100232423606,0.3180498449687463,7.885
19,0.46223937603827603,0.112119593542274,0.2932749590356916,0.29909185922057896,8.487
20,0.4465330833399386,0.10660714086430348,0.28340031259599885,0.28836176337408864,8.845
21,0.44587551833332106,0.10801344049696503,0.2826003013428615,0.28906613418356647,9.117
22,0.4316412833473389,0.09923982638189478,0.2691372882712857,0.27277871160591366,9.735
23,0.41054932194089794,0.09404059510765615,0.25724449529077686,0.26169868415266956,10.15
24,0.39932795531851795,0.0920721202381076,0.24946684013274403,0.2538309942960032,10.7
25,0.3762256785892403,0.08636533516544025,0.2366887793031802,0.24432824167221726,10.999
26,0.3800248156609085,0.08729339465379113,0.2378676534763067,0.24095359694004503,11.276
27,0.3601549140952068,0.0770609581957373,0.223514244939504,0.22800599026910998,11.837
28,0.35950519650049567,0.07979397837520709,0.22409461270304876,0.22876905128785177,12.215
29,0.3508090036535033,0.07840306356239574,0.21861224721230677,0.2216905067449309,12.628
30,0.34128509926682477,0.07648937554246911,0.2131761740009574,0.21698318388515322,13.109
31,0.3266682567057592,0.07451410023288084,0.20432126136584922,0.2084950561393298,13.374
32,0.31940160289477443,0.06821167771220352,0.19546802348468864,0.19697729547248646,13.737
33,0.31341341535077855,0.06966086168953435,0.1950030055343362,0.19745123597404063,14.027
34,0.3025768981570748,0.06704702108402937,0.1871278892101631,0.1871089172657458,14.632
35,0.30339784089912,0.06602649890891508,0.18822060165031515,0.1915456727193762,14.963
36,0.29111384972000226,0.06403613270798271,0.1803004890210572,0.18257230941022962,15.434
37,0.2809985725843858,0.05914790611997523,0.17202996001464588,0.1729930458552071,16.055
38,0.28758237519485697,0.060872852396390516,0.1747383245083596,0.17446786308009696,16.095
39,0.2773743171085659,0.060297682688671354,0.171857727526546,0.1743068693536815,16.693
40,0.2653552165852454,0.05512479835244798,0.1630284528303183,0.16504481191616377,17.037
41,0.2585111027944541,0.057258655960356286,0.16081749821674907,0.1636781360009939,17.584
42,0.25926597723322,0.05661600375122134,0.1616813654806769,0.16527369173191048,17.941
43,0.2500966859394026,0.054105186066951874,0.1532247547174821,0.15390986730924697,18.378
44,0.2542745029843733,0.055046337716566675,0.15643689624128582,0.15815841482906914,18.495
45,0.2459796693584664,0.05329192167601833,0.15095629345666706,0.15175282042417398,19.434
