,max,min,avg,median,count
28,0.7108517201557766,0.0777437850826498,0.4075197782543732,0.4214697264804103,12.251
29,0.7205237209071774,0.0785847368174449,0.41073571686064847,0.42158284394541123,12.448
30,0.7211446845817107,0.07498922605408051,0.4119707786243622,0.4279519759206392,13.019
31,0.7253914797294021,0.07588847416403924,0.4128164698859325,0.4237038595095013,13.263
32,0.7250117658269305,0.06665184860573856,0.4089115069068436,0.4230275617271389,14.038
33,0.724338510895436,0.06896953641712175,0.4096162041400857,0.4232609492339211,14.115
34,0.7294986399208038,0.06956176592569564,0.4161441339454711,0.43296318542021245,14.751
35,0.7194294424078613,0.06387224778802167,0.40462775632783593,0.4179698957693015,14.84
36,0.7302986202111523,0.06501388212476202,0.4139946366439076,0.4285491027724027,15.39
37,0.7287971319386214,0.06266560103882403,0.41328124464544896,0.427184493382025,16.092
38,0.7404572999512816,0.0624005148973607,0.4163471272410873,0.4316422429732331,16.389
39,0.745882809619612,0.05762739405386349,0.4160106165789765,0.43150028116686384,16.833
40,0.7460601876169686,0.05684358377874043,0.4157924607835363,0.43161064837014657,17.179
41,0.7378745156435959,0.05524466079088536,0.4092448512885043,0.42318008558474396,17.4
42,0.7434138864910543,0.054608281352463636,0.4125209905867285,0.4248349475959776,18.014
43,0.743304859529336,0.05176750020367904,0.40878791297049,0.4219622637731825,18.364
44,0.7475809132998759,0.05604096369046116,0.4168719400755144,0.4340863899600033,18.618
45,0.7470797032650923,0.0524602702633356,0.4140486585566005,0.4284872735045466,19.249
46,0.7408389170475895,0.05069997509339102,0.40900836604067903,0.42625012526962464,19.737
47,0.7374632403738198,0.04828067089180007,0.40278254423113125,0.4158934607783201,19.907
48,0.7535789909979554,0.050036565722354424,0.41570377516977,0.43318157901319354,20.652
49,0.7506404050353335,0.04851987980217442,0.41260359819622194,0.42831112051301284,20.919
50,0.7487680568765227,0.04735950303078272,0.40972802202242825,0.4263536521188747,21.66
51,0.75516032420903,0.04862818382741385,0.4140134603825584,0.42894808186598304,21.724
52,0.7507739863231448,0.04563693255642816,0.4087455310215659,0.4259888137202669,22.162
